bodyId,in_degree,Q_value
1640909284,1774.0,0.012026991283563597
1946178096,597.0,-0.009116838558089813
1386512867,912.0,0.16841836321420303
1508274398,325.0,0.17385763525382544
5813079288,333.0,0.26861677214007434
1048172314,1360.0,0.17873240996981077
5813027276,908.0,0.1946962749354042
979627466,435.0,0.16255638742837314
572870540,315.0,0.21955324182000968
424789697,2044.0,0.1839373596387353
364217037,297.0,0.03466686424832526
1417768398,412.0,0.17916036356595327
799586652,850.0,0.08574404657580703
739256609,446.0,0.22768272378068494
941132434,287.0,0.2236452683957251
1669924220,610.0,-0.007118004913859679
298254384,332.0,0.20751458844526297
1508123633,366.0,0.18143305649067745
613079053,1078.0,0.2297973984455553
1762359683,411.0,-0.027672881497413628
987117151,313.0,0.2071082252292469
1343403608,1107.0,0.21876813933117215
424767514,1644.0,0.16828562618196868
5813021291,473.0,0.13578337584548214
5813019513,894.0,0.2185512651178237
1281324958,612.0,0.22490653211780903
1704347707,992.0,-0.0020625761934946734
1005953129,498.0,0.22455066926343795
609548390,287.0,0.18573397716632334
487187476,592.0,0.1702244546969112
789398359,300.0,0.22072178710771795
1354394414,601.0,0.27743470072389453
5812983522,369.0,0.09287932168086233
5813056598,438.0,-0.007816160855135638
1732995501,483.0,-0.01270717440370665
478375456,293.0,0.1993770692713253
1005857944,414.0,0.2731164557627045
361312808,518.0,0.21836725076613459
1140249804,449.0,0.1984630446797802
5813082237,310.0,0.25047706060536395
892294329,305.0,0.20216800915202987
1383111671,287.0,0.1558755965315686
484825371,370.0,0.18757686532903348
5813132949,293.0,-0.014821720299215893
1158402729,289.0,0.2325811553694651
424918786,530.0,0.1530613574284872
821193443,292.0,0.1663307727823256
298258513,797.0,0.21812298721050472
1344469589,290.0,0.14408181653291136
800212579,420.0,0.18109693621763898
547552266,488.0,0.21464406031338865
1670273743,463.0,-0.03501039951025658
5813056435,296.0,0.2048247048940029
297917363,306.0,0.1790368206561421
945237807,373.0,0.22542474883562508
2135408892,455.0,-0.010724201149650866
5813057178,704.0,0.24673877517611628
5813052909,611.0,0.06773037026832732
488922181,371.0,0.19307368313000356
1670969318,518.0,-0.0208071194346615
